"module name","name","version","description","licenses","licenseFile","licenseModified"
"@babel/code-frame@7.18.6","@babel/code-frame","7.18.6","Generate errors that contain a code frame that point to source locations.","MIT","node_modules/@babel/code-frame/LICENSE",""
"@babel/helper-module-imports@7.18.6","@babel/helper-module-imports","7.18.6","Babel helper functions for inserting module loads","MIT","node_modules/@babel/helper-module-imports/LICENSE",""
"@babel/helper-plugin-utils@7.20.2","@babel/helper-plugin-utils","7.20.2","General utilities for plugins to use","MIT","node_modules/@babel/helper-plugin-utils/LICENSE",""
"@babel/helper-string-parser@7.19.4","@babel/helper-string-parser","7.19.4","A utility package to parse strings","MIT","node_modules/@babel/helper-string-parser/LICENSE",""
"@babel/helper-validator-identifier@7.19.1","@babel/helper-validator-identifier","7.19.1","Validate identifier/keywords name","MIT","node_modules/@babel/helper-validator-identifier/LICENSE",""
"@babel/highlight@7.18.6","@babel/highlight","7.18.6","Syntax highlight JavaScript strings for output in terminals.","MIT","node_modules/@babel/highlight/LICENSE",""
"@babel/parser@7.20.7","@babel/parser","7.20.7","A JavaScript parser","MIT","node_modules/@babel/parser/LICENSE",""
"@babel/plugin-syntax-jsx@7.18.6","@babel/plugin-syntax-jsx","7.18.6","Allow parsing of jsx","MIT","node_modules/@babel/plugin-syntax-jsx/LICENSE",""
"@babel/runtime-corejs3@7.20.7","@babel/runtime-corejs3","7.20.7","babel's modular runtime helpers with core-js@3 polyfilling","MIT","node_modules/@babel/runtime-corejs3/LICENSE",""
"@babel/runtime@7.20.7","@babel/runtime","7.20.7","babel's modular runtime helpers","MIT","node_modules/@babel/runtime/LICENSE",""
"@babel/types@7.20.7","@babel/types","7.20.7","Babel Types is a Lodash-esque utility library for AST nodes","MIT","node_modules/@babel/types/LICENSE",""
"@cspotcode/source-map-support@0.8.1","@cspotcode/source-map-support","0.8.1","Fixes stack traces for files with source maps","MIT","node_modules/@cspotcode/source-map-support/LICENSE.md",""
"@date-io/core@2.16.0","@date-io/core","2.16.0","Abstraction over common javascript date management libraries","MIT","node_modules/@date-io/core/LICENSE",""
"@date-io/date-fns@2.16.0","@date-io/date-fns","2.16.0","Abstraction over common javascript date management libraries","MIT","node_modules/@date-io/date-fns/LICENSE",""
"@date-io/dayjs@2.16.0","@date-io/dayjs","2.16.0","Abstraction over common javascript date management libraries","MIT","node_modules/@date-io/dayjs/LICENSE",""
"@date-io/luxon@2.16.1","@date-io/luxon","2.16.1","Abstraction over common javascript date management libraries","MIT","node_modules/@date-io/luxon/LICENSE",""
"@date-io/moment@2.16.1","@date-io/moment","2.16.1","Abstraction over common javascript date management libraries","MIT","node_modules/@date-io/moment/LICENSE",""
"@emotion/babel-plugin@11.10.5","@emotion/babel-plugin","11.10.5","A recommended babel preprocessing plugin for emotion, The Next Generation of CSS-in-JS.","MIT","node_modules/@emotion/babel-plugin/LICENSE",""
